Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,Square Enix,365769,102660.0,9.590000000000003,12.79,2.9199999999999995,3.869999999999997,29.159999999999986
Action,Stainless Games,16225,2016.0,0.01,0.01,0.0,0.0,0.01
Action,Starfish,12466,2007.0,0.06,0.0,0.0,0.0,0.06
Action,Starpath Corp.,5566,1981.0,0.3,0.02,0.0,0.0,0.33
Action,Storm City Games,16161,2010.0,0.01,0.0,0.0,0.0,0.01
Action,Success,11676,2008.0,0.07,0.0,0.0,0.01,0.08
Action,Sunrise Interactive,12015,2000.0,0.0,0.0,0.07,0.0,0.07
Action,Swing! Entertainment,13010,1998.0,0.03,0.02,0.0,0.0,0.05
Action,TDK Core,15801,4002.0,0.24000000000000002,0.12000000000000001,0.0,0.01,0.37
Action,TDK Mediactive,92598,16020.0,0.8200000000000001,0.28,0.0,0.01,1.1300000000000001
Action,THQ,1311880,387243.0,54.36999999999998,24.830000000000005,1.9400000000000002,7.849999999999978,89.23000000000006
Action,Taito,6868,1981.0,0.22,0.01,0.0,0.0,0.24
Action,Takara,41502,6006.0,0.0,0.0,0.12000000000000001,0.0,0.12000000000000001
Action,Takara Tomy,165481,24103.0,0.08,0.0,0.4800000000000001,0.01,0.56
Action,Take-Two Interactive,447042,186605.0,101.45000000000003,70.44000000000008,4.439999999999999,34.78,211.07999999999996
Action,Tecmo Koei,1319524,275390.0,7.949999999999998,3.8499999999999948,15.579999999999988,1.650000000000001,29.03999999999998
Action,Telltale Games,23532,4032.0,0.05,0.09000000000000001,0.0,0.02,0.16
Action,Telstar,9575,1998.0,0.07,0.05,0.0,0.01,0.13
Action,Tigervision,13493,5944.0,1.33,0.09000000000000001,0.0,0.01,1.42
Action,Titus,44930,7992.0,0.38,0.1,0.07,0.01,0.5700000000000001
Action,Tomy Corporation,16091,4006.0,0.28,0.09,0.0,0.0,0.37
Action,Touchstone,21730,6024.0,0.81,0.44,0.02,0.17,1.4400000000000002
Action,Tru Blu Entertainment,60412,8060.0,0.0,0.09,0.0,0.0,0.09
Action,UFO Interactive,15336,2011.0,0.02,0.0,0.0,0.0,0.02
